case_id,action,narrative,baseline_metric,candidate_metric,metric_delta,train_loss_delta,val_loss_delta,train_val_gap,grad_norm_mean,grad_norm_std,proxy_corr_delta,weight_efficiency,label,confidence
lead_time_iter1,goodhart_descent,,0.636,-0.00653,-0.00653,-0.13285,,0.82945,0.96767,0.9859,0.00148,-0.38424,,
lead_time_iter2,goodhart_descent,,0.636,-0.01046,-0.01046,-0.29826,,0.26936,0.93464,1.00493,-0.00274,-0.82209,,
lead_time_iter3,goodhart_descent,,0.636,-0.01886,-0.01886,-0.4537,,0.04448,0.90073,1.03038,-0.00067,-1.18709,,
lead_time_iter4,goodhart_descent,,0.636,-0.02846,-0.02846,-0.4883,,-0.1198,0.89642,1.01672,-0.00202,-1.50688,,
lead_time_iter5,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-1.60373,,
lead_time_iter6,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter7,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter8,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter9,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter10,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter11,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter12,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter13,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter14,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
lead_time_iter15,goodhart_descent,,0.636,-0.03426,-0.03426,-0.51191,,-0.26701,0.8825,0.98996,-0.01168,-511913.33333,,
